Feature,Importance
Units Sold,0.7161908872476004
Units Ordered,0.08098478344925951
Inventory Level,0.07230096303197009
Price,0.02110226111038775
Competitor Pricing,0.016384859465721463
Day,0.013040012468796873
Category,0.012572930658130237
Product ID,0.012024740115559242
Month,0.008034628570864604
DayOfWeek,0.007403245531480082
Discount,0.006719536573238044
Epidemic,0.0066798536870060566
Weather Condition,0.005454278573340802
Promotion,0.005234917010274042
Store ID,0.004774551467926701
Region,0.004364024642748815
Seasonality,0.004117363483823871
Year,0.002616162911871577
